Time (UTC),open,high,low,close,volume_from,volume_to
2021-01-07 00:00:00+00:00,1210.59,1221.89,1191.01,1202.14,78019.39,94246848.76
2021-01-07 01:00:00+00:00,1202.14,1212.55,1198.71,1202.08,41771.47,50376044.68
2021-01-07 02:00:00+00:00,1202.08,1207.27,1181.99,1198.8,43583.15,52084947.63
2021-01-07 03:00:00+00:00,1198.8,1226.81,1196.68,1217.06,56981.29,69289071.31
2021-01-07 04:00:00+00:00,1217.06,1219.32,1203.76,1213.63,41723.35,50645042.55
2021-01-07 05:00:00+00:00,1213.63,1220.44,1206.89,1211.18,28861.42,35021153.22
2021-01-07 06:00:00+00:00,1211.18,1214.43,1188.64,1201.7,35288.43,42409064.94
2021-01-07 07:00:00+00:00,1201.7,1206.87,1182.54,1186.96,33042.42,39452917.7
2021-01-07 08:00:00+00:00,1186.96,1200.12,1161.1,1196.41,62983.07,74323880.91
2021-01-07 09:00:00+00:00,1196.41,1205.49,1182.16,1205.49,25969.77,30998336.53
2021-01-07 10:00:00+00:00,1205.49,1206.02,1183.38,1184.07,25935.73,30903528.96
2021-01-07 11:00:00+00:00,1184.07,1205.74,1184.07,1204.0,28646.25,34231803.83
2021-01-07 12:00:00+00:00,1204.0,1228.56,1199.71,1228.48,63748.11,77396090.09
2021-01-07 13:00:00+00:00,1228.48,1233.24,1212.39,1221.36,65397.58,80075635.9
2021-01-07 14:00:00+00:00,1221.36,1230.7,1217.61,1225.56,49874.58,61066076.14
2021-01-07 15:00:00+00:00,1225.56,1250.87,1218.03,1250.36,66273.1,81991283.7
2021-01-07 16:00:00+00:00,1250.36,1277.8,1242.37,1264.7,117682.11,148737905.38
2021-01-07 17:00:00+00:00,1264.7,1274.53,1257.89,1272.34,52436.02,66431730.42
2021-01-07 18:00:00+00:00,1272.34,1290.46,1151.6,1216.22,303529.6,371882710.91
2021-01-07 19:00:00+00:00,1216.22,1245.22,1174.56,1234.22,126933.85,153573382.97
2021-01-07 20:00:00+00:00,1234.22,1245.74,1223.87,1244.26,55343.55,68362724.64
2021-01-07 21:00:00+00:00,1244.26,1267.75,1242.81,1255.02,57361.66,72006990.22
2021-01-07 22:00:00+00:00,1255.02,1259.6,1239.55,1245.41,37228.81,46594522.48
2021-01-07 23:00:00+00:00,1245.41,1246.12,1202.89,1225.5,102714.6,125327491.84
2021-01-08 00:00:00+00:00,1225.5,1232.04,1184.6,1184.93,48374.04,58729664.54
2021-01-08 01:00:00+00:00,1184.93,1199.54,1160.98,1185.03,95574.62,112765589.84
2021-01-08 02:00:00+00:00,1185.03,1186.65,1067.33,1111.82,241872.69,269183773.78
2021-01-08 03:00:00+00:00,1111.82,1160.9,1107.34,1151.96,85067.22,97128419.34
2021-01-08 04:00:00+00:00,1151.96,1177.08,1143.6,1169.77,49546.17,57740742.36
2021-01-08 05:00:00+00:00,1169.77,1172.98,1143.48,1147.97,35084.22,40648106.31
2021-01-08 06:00:00+00:00,1147.97,1181.74,1126.25,1175.22,50938.21,58835855.81
2021-01-08 07:00:00+00:00,1175.22,1212.17,1167.42,1207.92,44386.43,52915396.08
2021-01-08 08:00:00+00:00,1207.92,1209.26,1185.27,1199.58,33171.85,39639805.16
2021-01-08 09:00:00+00:00,1199.58,1222.03,1187.7,1221.8,34410.32,41423940.75
2021-01-08 10:00:00+00:00,1221.8,1270.48,1218.56,1253.29,115178.89,143775000.89
2021-01-08 11:00:00+00:00,1253.29,1265.4,1243.55,1256.34,60510.82,75933600.0
2021-01-08 12:00:00+00:00,1256.34,1273.69,1227.64,1250.01,80076.48,100631548.99
2021-01-08 13:00:00+00:00,1250.01,1256.37,1223.69,1251.31,57359.94,71079676.49
2021-01-08 14:00:00+00:00,1251.31,1258.19,1239.14,1257.93,41593.27,51989337.71
2021-01-08 15:00:00+00:00,1257.93,1265.8,1179.28,1217.95,135985.82,165897362.11
2021-01-08 16:00:00+00:00,1217.95,1242.39,1203.59,1228.56,55554.68,68155102.78
2021-01-08 17:00:00+00:00,1228.56,1236.79,1210.61,1216.67,36922.66,45211411.02
2021-01-08 18:00:00+00:00,1216.67,1222.08,1173.52,1184.36,114363.46,136522169.61
2021-01-08 19:00:00+00:00,1184.36,1202.87,1180.44,1185.16,44908.57,53496803.31
2021-01-08 20:00:00+00:00,1185.16,1193.92,1143.2,1144.74,126566.24,147014804.76
2021-01-08 21:00:00+00:00,1144.74,1191.66,1136.05,1191.35,71250.3,83048912.85
2021-01-08 22:00:00+00:00,1191.35,1219.76,1166.57,1217.72,54684.52,65335100.61
2021-01-08 23:00:00+00:00,1217.72,1229.82,1209.41,1216.98,54252.98,66188451.93
2021-01-09 00:00:00+00:00,1216.98,1234.15,1184.66,1197.89,62084.61,75035314.59
2021-01-09 01:00:00+00:00,1197.89,1198.47,1173.77,1198.47,52501.52,62295504.01
2021-01-09 02:00:00+00:00,1198.47,1207.63,1179.71,1199.25,31949.77,38181775.85
2021-01-09 03:00:00+00:00,1199.25,1231.5,1193.24,1227.09,35689.59,43509690.11
2021-01-09 04:00:00+00:00,1227.09,1227.41,1209.62,1221.02,22170.92,27016532.7
2021-01-09 05:00:00+00:00,1221.02,1221.02,1182.42,1186.09,32010.88,38380713.42
2021-01-09 06:00:00+00:00,1186.09,1195.92,1177.12,1180.54,27000.03,32028372.51
2021-01-09 07:00:00+00:00,1180.54,1200.95,1175.49,1196.87,15883.97,18902300.29
2021-01-09 08:00:00+00:00,1196.87,1213.48,1185.91,1209.78,23195.57,27868502.3
2021-01-09 09:00:00+00:00,1209.78,1222.16,1205.9,1212.7,31056.56,37688493.39
2021-01-09 10:00:00+00:00,1212.7,1229.7,1206.61,1220.12,27419.48,33406117.25
2021-01-09 11:00:00+00:00,1220.12,1238.42,1216.93,1221.74,35351.38,43386933.75
2021-01-09 12:00:00+00:00,1221.7,1230.86,1224.72,1225.54,33604.59,41183833.98
2021-01-09 13:00:00+00:00,1224.2,1230.61,1220.85,1222.8,21853.07,26783118.4
2021-01-09 14:00:00+00:00,1222.8,1236.48,1222.77,1225.29,26858.48,33053630.69
2021-01-09 15:00:00+00:00,1225.29,1229.3,1210.69,1222.42,25901.77,31595200.95
2021-01-09 16:00:00+00:00,1222.42,1226.68,1197.27,1201.78,40076.23,48514836.5
2021-01-09 17:00:00+00:00,1201.78,1225.65,1201.78,1224.5,28933.49,35309362.78
2021-01-09 18:00:00+00:00,1224.5,1232.78,1221.76,1226.68,34904.47,42884782.9
2021-01-09 19:00:00+00:00,1226.68,1238.49,1223.42,1230.93,34366.17,42347550.62
2021-01-09 20:00:00+00:00,1230.93,1276.02,1221.64,1274.12,104752.14,131484133.79
2021-01-09 21:00:00+00:00,1274.12,1297.48,1266.68,1291.39,107035.45,137606678.89
2021-01-09 22:00:00+00:00,1291.39,1307.77,1283.62,1291.19,103811.9,134570920.65
2021-01-09 23:00:00+00:00,1291.19,1296.46,1273.13,1279.96,57021.21,73297872.92
2021-01-10 00:00:00+00:00,1279.96,1295.19,1279.96,1292.38,42286.1,54534137.4
2021-01-10 01:00:00+00:00,1292.38,1337.86,1289.07,1325.72,101322.72,133808223.04
2021-01-10 02:00:00+00:00,1325.72,1342.2,1314.96,1341.39,47989.8,63835221.62
2021-01-10 03:00:00+00:00,1341.39,1344.04,1310.15,1314.71,51990.58,68852604.43
2021-01-10 04:00:00+00:00,1314.71,1330.1,1310.97,1321.97,29918.17,39598013.18
2021-01-10 05:00:00+00:00,1321.97,1330.79,1309.55,1318.18,27525.51,36405445.89
2021-01-10 06:00:00+00:00,1318.73,1336.08,1320.08,1326.65,44653.26,59239068.88
2021-01-10 07:00:00+00:00,1327.1,1348.1,1325.31,1346.98,31412.18,42006100.22
2021-01-10 08:00:00+00:00,1346.98,1350.09,1321.91,1331.86,37277.52,49920829.38
2021-01-10 09:00:00+00:00,1331.86,1348.14,1331.45,1332.83,24180.93,32398383.93
2021-01-10 10:00:00+00:00,1332.83,1340.91,1297.76,1320.46,55548.88,73204499.65
2021-01-10 11:00:00+00:00,1320.46,1320.84,1261.99,1262.76,105961.29,136375652.67
2021-01-10 12:00:00+00:00,1262.76,1297.25,1245.49,1291.29,92238.3,117365346.67
2021-01-10 13:00:00+00:00,1291.29,1324.88,1287.95,1310.75,42245.61,55451537.14
2021-01-10 14:00:00+00:00,1310.75,1314.98,1284.77,1295.18,44980.53,58479256.39
