Time (UTC),open,high,low,close,volume
2021-01-07 00:00:00+00:00,36849.86,37354.53,36512.75,37226.92,269664792.84
2021-01-07 01:00:00+00:00,37226.92,37298.39,36762.78,36956.68,133216541.1
2021-01-07 02:00:00+00:00,36956.68,37159.27,36554.54,37048.01,114721151.19
2021-01-07 03:00:00+00:00,37048.01,37775.67,37036.87,37558.68,154858214.44
2021-01-07 04:00:00+00:00,37558.68,37657.95,37167.05,37542.6,111323810.81
2021-01-07 05:00:00+00:00,37542.6,37788.44,37269.6,37471.1,91254886.52
2021-01-07 06:00:00+00:00,37471.1,37565.49,36850.98,37245.63,105401416.02
2021-01-07 07:00:00+00:00,37245.63,37375.33,36793.52,36893.68,90901896.78
2021-01-07 08:00:00+00:00,36893.68,37364.19,36340.01,37233.74,132855483.71
2021-01-07 09:00:00+00:00,37233.74,37531.45,36934.28,37523.67,66077253.89
2021-01-07 10:00:00+00:00,37523.67,37531.17,36977.66,37072.95,61017283.08
2021-01-07 11:00:00+00:00,37072.95,37952.81,37072.95,37877.87,88608412.67
2021-01-07 12:00:00+00:00,37877.87,38157.56,37615.27,38034.75,169155327.82
2021-01-07 13:00:00+00:00,38034.75,38489.22,37981.42,38241.5,196750803.45
2021-01-07 14:00:00+00:00,38241.5,38659.12,38166.08,38499.09,187753597.59
2021-01-07 15:00:00+00:00,38499.09,38994.32,38156.17,38994.32,185870474.46
2021-01-07 16:00:00+00:00,38994.32,39571.34,38993.35,39155.91,341238820.94
2021-01-07 17:00:00+00:00,39155.91,39794.71,39136.67,39772.09,186604857.01
2021-01-07 18:00:00+00:00,39772.09,40365.87,36594.5,38698.38,903450356.77
2021-01-07 19:00:00+00:00,38698.38,39219.64,37541.33,39085.54,366987686.03
2021-01-07 20:00:00+00:00,39085.54,39183.9,38368.91,39141.7,193652287.91
2021-01-07 21:00:00+00:00,39141.7,39892.1,39137.16,39728.88,219772486.17
2021-01-07 22:00:00+00:00,39728.88,39983.93,39236.05,39699.69,160122308.03
2021-01-07 23:00:00+00:00,39699.69,39704.94,38638.61,39479.41,221910031.33
2021-01-08 00:00:00+00:00,39479.41,39720.86,38823.22,38837.05,138290586.36
2021-01-08 01:00:00+00:00,38837.05,39032.83,37883.3,38694.99,232968090.82
2021-01-08 02:00:00+00:00,38694.99,38697.74,36640.51,37222.29,370793587.41
2021-01-08 03:00:00+00:00,37222.29,38479.32,37162.86,38383.56,143398883.54
2021-01-08 04:00:00+00:00,38383.56,38920.06,38218.23,38719.22,109315246.01
2021-01-08 05:00:00+00:00,38719.22,38719.22,37911.92,37975.24,89007785.06
2021-01-08 06:00:00+00:00,37975.24,38673.4,37568.18,38549.17,97953915.0
2021-01-08 07:00:00+00:00,38549.17,39115.24,38321.19,38961.07,94809346.18
2021-01-08 08:00:00+00:00,38961.07,38982.46,38448.86,38648.75,78683963.74
2021-01-08 09:00:00+00:00,38648.75,39372.37,38264.0,39364.66,104270512.68
2021-01-08 10:00:00+00:00,39364.66,41056.99,39269.38,40757.76,342236518.07
2021-01-08 11:00:00+00:00,40757.76,41518.57,40492.93,41310.25,268538292.67
2021-01-08 12:00:00+00:00,41310.25,41777.51,40939.33,41323.92,197760158.0
2021-01-08 13:00:00+00:00,41323.92,41657.01,40754.34,41347.41,162918754.46
2021-01-08 14:00:00+00:00,41347.41,41594.59,40979.51,41490.84,181675133.68
2021-01-08 15:00:00+00:00,41490.84,41964.96,39978.85,40866.95,446668316.99
2021-01-08 16:00:00+00:00,40866.95,41632.23,40428.8,41375.49,216961255.88
2021-01-08 17:00:00+00:00,41375.49,41581.34,40913.9,41039.04,135115763.7
2021-01-08 18:00:00+00:00,41039.04,41155.05,39853.04,39911.47,259634206.73
2021-01-08 19:00:00+00:00,39911.47,40676.07,39904.55,40360.24,159188037.07
2021-01-08 20:00:00+00:00,40360.24,40450.97,38914.17,39054.24,361256631.58
2021-01-08 21:00:00+00:00,39054.24,40068.11,38675.17,40035.65,237887040.08
2021-01-08 22:00:00+00:00,40035.65,40791.09,39765.16,40714.9,142390749.26
2021-01-08 23:00:00+00:00,40714.9,40948.47,40507.1,40636.24,133869552.39
2021-01-09 00:00:00+00:00,40636.24,40968.79,40034.65,40306.55,123748092.42
2021-01-09 01:00:00+00:00,40306.55,40309.58,39797.2,40203.12,140343693.24
2021-01-09 02:00:00+00:00,40203.12,40572.02,39554.8,39984.81,149854857.11
2021-01-09 03:00:00+00:00,39984.81,40384.58,39750.52,40252.44,65512877.72
2021-01-09 04:00:00+00:00,40252.44,40503.19,39857.93,40243.06,72167277.88
2021-01-09 05:00:00+00:00,40243.06,40243.06,39217.82,39323.02,104975862.38
2021-01-09 06:00:00+00:00,39323.02,39629.32,38931.1,38992.61,136732801.27
2021-01-09 07:00:00+00:00,38992.61,39693.18,38783.61,39648.51,94606182.45
2021-01-09 08:00:00+00:00,39648.51,40292.66,39334.62,40203.27,91378146.99
2021-01-09 09:00:00+00:00,40203.27,40780.38,40202.79,40342.73,85004228.94
2021-01-09 10:00:00+00:00,40342.73,40785.72,40184.32,40411.2,59222850.53
2021-01-09 11:00:00+00:00,40411.2,41221.25,40302.44,40601.56,125221254.93
2021-01-09 12:00:00+00:00,40601.56,40958.87,40475.16,40878.65,62423107.7
2021-01-09 13:00:00+00:00,40878.65,41266.66,40780.34,41104.99,87661802.05
2021-01-09 14:00:00+00:00,41104.99,41400.48,40782.64,40886.25,105207720.39
2021-01-09 15:00:00+00:00,40886.25,41008.37,40304.44,40628.72,94652298.21
2021-01-09 16:00:00+00:00,40628.72,40692.07,40005.29,40088.04,88852678.82
2021-01-09 17:00:00+00:00,40088.04,40647.39,40082.97,40501.41,71970615.27
2021-01-09 18:00:00+00:00,40501.41,40875.93,40501.16,40711.59,73848504.69
2021-01-09 19:00:00+00:00,40711.59,40947.15,40566.5,40717.95,80794876.9
2021-01-09 20:00:00+00:00,40717.95,40849.66,40152.19,40702.42,106400088.37
2021-01-09 21:00:00+00:00,40702.42,40868.76,40601.54,40842.28,85805013.47
2021-01-09 22:00:00+00:00,40802.21,40957.41,40201.06,40438.15,4197960762.95
2021-01-09 23:00:00+00:00,40417.03,40550.59,40121.98,40236.66,75898596.53
2021-01-10 00:00:00+00:00,40236.66,40812.12,40234.06,40668.09,80496240.1
2021-01-10 01:00:00+00:00,40668.09,41427.88,40557.13,41230.9,149274625.55
2021-01-10 02:00:00+00:00,41230.9,41230.9,40955.1,41067.71,59884781.57
2021-01-10 03:00:00+00:00,41067.71,41106.49,40394.16,40455.09,89385648.02
