Time (UTC),BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,DAI_open,DAI_high,DAI_low,DAI_close,DAI_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,USDC_open,USDC_high,USDC_low,USDC_close,USDC_volume,USDT_open,USDT_high,USDT_low,USDT_close,USDT_volume,sUSD/USDT_open,sUSD/USDT_high,sUSD/USDT_low,sUSD/USDT_close,sUSD/USDT_volume,sUSD/USDT_std,sUSD/USDT_offset,sUSD/USDT_future,y
2021-01-07 00:00:00+00:00,36849.86,37354.53,36512.75,37226.92,269664792.84,1.003,1.017,0.9911,1.0,78046.66,1210.59,1221.89,1191.01,1202.14,94246848.76,1.0,1.003,0.9805,0.9997,7285.5,1.003,1.006,0.983,1.002,7303.75,0.969294,0.989499,0.96131,0.980163,136.7788,,,0.986414,0
2021-01-07 01:00:00+00:00,37226.92,37298.39,36762.78,36956.68,133216541.1,1.002,1.004,1.001,1.003,1262688.98,1202.14,1212.55,1198.71,1202.08,50376044.68,0.9997,1.009,0.9949,1.0,3597.43,1.002,1.012,0.9973,1.003,3606.06,0.980163,0.984562,0.978573,0.984562,585.0986,,,0.98837,0
2021-01-07 02:00:00+00:00,36956.68,37159.27,36554.54,37048.01,114721151.19,1.003,1.003,1.001,1.001,722891.83,1202.08,1207.27,1181.99,1198.8,52084947.63,1.0,1.002,0.9861,0.9994,3110.1,1.003,1.006,0.9892,1.003,3119.93,0.984562,0.9895,0.984562,0.989034,65.6,,,0.985,0
2021-01-07 03:00:00+00:00,37048.01,37775.67,37036.87,37558.68,154858214.44,1.001,1.003,1.001,1.002,707410.24,1198.8,1226.81,1196.68,1217.06,69289071.31,0.9994,1.006,0.986,0.9999,4130.76,1.003,1.009,0.9891,1.003,4143.36,0.98851,0.98851,0.980163,0.980163,1.0381,,,0.985,0
2021-01-07 04:00:00+00:00,37558.68,37657.95,37167.05,37542.6,111323810.81,1.002,1.003,1.001,1.003,689094.5,1217.06,1219.32,1203.76,1213.63,50645042.55,0.9999,1.003,0.9898,0.9998,2974.81,1.003,1.006,0.9929,1.003,2984.13,0.980163,0.9895,0.978573,0.986414,140.1833,,,0.984406,0
2021-01-07 05:00:00+00:00,37542.6,37788.44,37269.6,37471.1,91254886.52,1.003,1.003,1.001,1.002,508206.67,1213.63,1220.44,1206.89,1211.18,35021153.22,0.9998,1.008,0.9946,0.9999,2429.85,1.003,1.012,0.9981,1.004,2438.62,0.986414,0.989499,0.96691,0.98837,859.1607,,,0.9895,0
2021-01-07 06:00:00+00:00,37471.1,37565.49,36850.98,37245.63,105401416.02,1.002,1.003,1.001,1.002,902832.12,1211.18,1214.43,1188.64,1201.7,42409064.94,0.9999,1.008,0.9891,0.9997,2831.57,1.004,1.012,0.9924,1.003,2841.17,0.988509,0.989591,0.96691,0.985,589.6195,,,0.97545,0
2021-01-07 07:00:00+00:00,37245.63,37375.33,36793.52,36893.68,90901896.78,1.002,1.003,1.001,1.002,704096.64,1201.7,1206.87,1182.54,1186.96,39452917.7,0.9997,1.012,0.9963,0.999,2450.08,1.003,1.014,0.9981,1.001,2454.51,0.985,0.99,0.961311,0.985,1696.9431,,,0.98,0
2021-01-07 08:00:00+00:00,36893.68,37364.19,36340.01,37233.74,132855483.71,1.0,1.003,0.9704,0.9999,62978.86,1186.96,1200.12,1161.1,1196.41,74323880.91,0.999,1.003,0.9751,0.9991,3602.45,1.001,1.004,0.9765,1.001,3607.71,0.985,0.985,0.97545,0.984406,61.5386,,,0.973593,0
2021-01-07 09:00:00+00:00,37233.74,37531.45,36934.28,37523.67,66077253.89,1.0,1.001,1.0,1.001,717869.9,1196.41,1205.49,1182.16,1205.49,30998336.53,0.9991,1.0,0.9844,1.0,1776.83,1.001,1.001,0.9852,1.001,1778.33,0.984406,0.9895,0.984406,0.9895,48.4187,,,0.9895,0
