permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.062612590869751,0.34724404359293615,0.236014699877501,0.47670588235294115,0.34989200863930886,0.3782722513089005,0.3578240904274108,0.4440789473684211,0.171513353115727,0.7138830162085976,0.2886671418389166,90517.02685454521,1,6,1,24,0.1,20000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.203890053206444,0.39693827476585886,0.3288052943225357,0.45124792013311155,0.42383683875079664,0.3979763912310287,0.4274905422446406,0.38328530259365995,0.2801186943620178,0.47780126849894294,0.47398431931575197,88934.78781644726,1,6,1,24,0.1,30000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.1754877515883644,0.3841111417110105,0.2641656897225479,0.4678047319556753,0.4435173299101412,0.38672768878718533,0.40677083333333336,0.40338587273788673,0.20059347181008902,0.5503875968992248,0.4925160370634355,107985.69687185372,1,6,1,24,0.1,100000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.213904727980172,0.3923599769677354,0.339598598279707,0.44907723855092274,0.42522889114954215,0.49953139643861294,0.3869257950530035,0.35993111366245695,0.25723938223938225,0.5350162866449512,0.5194697597348799,85148.1962522614,1,6,1,24,0.25,20000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.2050466723487168,0.3832073184069446,0.30418760469011724,0.45246535610699323,0.4483937115516063,0.49726177437020813,0.3744,0.3816172193135544,0.21911196911196912,0.5716612377850163,0.5434962717481359,89572.58730781484,1,6,1,24,0.25,30000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.261853664787692,0.4136320664615319,0.3833039388594944,0.45830681094844056,0.4202429149797571,0.49022556390977445,0.3761755485893417,0.41092636579572445,0.31467181467181465,0.5863192182410424,0.4299917149958575,127724.9262758951,1,6,1,24,0.25,100000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.2147817425104954,0.3840863819474931,0.33502538071065996,0.4527503526093089,0.42700600919052667,0.5911485774499473,0.3616901408450704,0.3387549074593382,0.23375,0.6050895381715363,0.5774378585086042,86708.21498260426,1,6,1,24,0.5,20000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.2020650270293498,0.3833173099263838,0.3423156647912349,0.45037916254533467,0.40937019969278027,0.5916069600818833,0.34634888438133876,0.34210526315789475,0.24083333333333334,0.6437323279924599,0.5095602294455067,91467.61242091408,1,6,1,24,0.5,30000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.2516079604694754,0.4064515110658223,0.3810065396644868,0.4541452677916361,0.4164561530133526,0.5998209489704566,0.3717717717717718,0.3344927536231884,0.2791666666666667,0.5834118755890669,0.5516252390057361,130263.2512339471,1,6,1,24,0.5,100000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.1987771836321774,0.3920475062688985,0.3809775429326288,0.42591967600404995,0.3918799646954987,0.6782690498588899,0.304978250362494,0.3229090909090909,0.2648787656135195,0.7058165548098434,0.4983164983164983,84373.4803815209,1,6,1,24,0.8,20000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.1528574233957083,0.37259753675029206,0.3554592251422379,0.4184308841843088,0.37896731406916156,0.6769865841073271,0.2899050905953408,0.32786885245901637,0.24099926524614254,0.7516778523489933,0.4489337822671156,92678.98346650746,1,6,1,24,0.8,30000,0.0004,14
AdaBoostClassifier-p1-tr6-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.138709318042131,0.35611680466760287,0.32180028129395216,0.4040404040404041,0.4128686327077748,0.6866746698679472,0.3162555344718533,0.29431438127090304,0.21013960323291697,0.5592841163310962,0.691358024691358,125417.5430037538,1,6,1,24,0.8,100000,0.0004,14
AdaBoostClassifier-p2-tr6-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.1518620633635615,0.39431313218398345,0.20831195484864035,0.5048017729623246,0.43874833555259657,0.3258426966292135,0.4154843940008107,0.46506704304869445,0.15309200603318251,0.6430363864491845,0.4152488972904852,88546.41041553729,2,6,1,24,0.1,20000,0.0004,14
AdaBoostClassifier-p2-tr6-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.2240526737002124,0.4140130919666431,0.3060665362035225,0.4669683257918552,0.4510178117048346,0.31814483319772174,0.44973852411388726,0.45536287732819525,0.2948717948717949,0.48557089084065247,0.4467548834278513,94341.33685240365,2,6,1,24,0.1,30000,0.0004,14
AdaBoostClassifier-p2-tr6-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.155244801336643,0.3936303763636028,0.2406367041198502,0.5035409035409035,0.4110671936758894,0.3172839506172839,0.412235105957617,0.4782608695652174,0.193815987933635,0.6468005018820577,0.36042848141146816,109615.45280362313,2,6,1,24,0.1,100000,0.0004,14
AdaBoostClassifier-p2-tr6-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,AdaBoostClassifier,1.1375734794745311,0.3640655556627003,0.22779605263157898,0.48044692737430167,0.4293304994686504,0.44178628389154706,0.376720901126408,0.4086311530681052,0.15346260387811633,0.6629955947136564,0.45223880597014926,90239.44127508994,2,6,1,24,0.25,20000,0.0004,14
