permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(20000),AdaBoostClassifier,0.17795353800957114,117567.79493750399,1,8,1,24,0.1,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(30000),AdaBoostClassifier,0.19371096430536494,123405.073036935,1,8,1,24,0.1,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(100000),AdaBoostClassifier,0.1703856573381899,178500.26872304373,1,8,1,24,0.1,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(20000),AdaBoostClassifier,0.4839574349795056,127486.43311719928,1,8,1,24,0.25,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(30000),AdaBoostClassifier,0.39867399263030756,131056.52742972292,1,8,1,24,0.25,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(100000),AdaBoostClassifier,0.3256165365562016,180369.14401347254,1,8,1,24,0.25,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(20000),AdaBoostClassifier,0.4588667200664436,116645.19099541956,1,8,1,24,0.5,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(30000),AdaBoostClassifier,0.434620656032368,142977.2264548546,1,8,1,24,0.5,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(100000),AdaBoostClassifier,0.3543953683207839,182009.4971433058,1,8,1,24,0.5,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(20000),AdaBoostClassifier,0.4853256857195649,123323.6050163445,1,8,1,24,0.8,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(30000),AdaBoostClassifier,0.418367894075627,125510.76304705131,1,8,1,24,0.8,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(100000),AdaBoostClassifier,0.42645726652575533,176689.875652535,1,8,1,24,0.8,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(20000),AdaBoostClassifier,0.5045674812053287,125996.91282431888,1,8,1,24,1.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(30000),AdaBoostClassifier,0.6288446254136906,132299.34221031037,1,8,1,24,1.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(100000),AdaBoostClassifier,0.6034581395352506,191435.13904292678,1,8,1,24,1.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(20000),AdaBoostClassifier,0.3577082606489633,103848.23140578253,1,8,1,24,2.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(30000),AdaBoostClassifier,0.27445481846547337,111027.36672670425,1,8,1,24,2.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(100000),AdaBoostClassifier,0.3467518746862871,134625.45438774247,1,8,1,24,2.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(20000),AdaBoostClassifier,-0.6162047556276653,94267.46239084905,1,8,1,24,3.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(30000),AdaBoostClassifier,-0.5511742557826493,99426.15534662089,1,8,1,24,3.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(100000),AdaBoostClassifier,-0.4647634084853669,106110.87776878453,1,8,1,24,3.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(20000),AdaBoostClassifier,0.33161049034368584,118417.83477054951,1,8,1,42,0.1,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(30000),AdaBoostClassifier,0.0892215063630184,117366.07234743376,1,8,1,42,0.1,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(100000),AdaBoostClassifier,0.19160215103568357,185723.34136492945,1,8,1,42,0.1,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(20000),AdaBoostClassifier,0.3406929398550418,127491.49537744655,1,8,1,42,0.25,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(30000),AdaBoostClassifier,0.4143167024671721,128509.55017771221,1,8,1,42,0.25,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(100000),AdaBoostClassifier,0.3531762349312153,194715.6369492507,1,8,1,42,0.25,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(20000),AdaBoostClassifier,0.416542081042637,116325.57462978308,1,8,1,42,0.5,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(30000),AdaBoostClassifier,0.46727580841810634,142591.797699214,1,8,1,42,0.5,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(100000),AdaBoostClassifier,0.3751072705967553,189732.34493601252,1,8,1,42,0.5,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(20000),AdaBoostClassifier,0.6270561658620691,120903.72893759534,1,8,1,42,0.8,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(30000),AdaBoostClassifier,0.4964593709388221,130413.19463264261,1,8,1,42,0.8,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(100000),AdaBoostClassifier,0.5618328346499942,193772.6089994681,1,8,1,42,0.8,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(20000),AdaBoostClassifier,0.5615450470088428,115677.34398637807,1,8,1,42,1.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(30000),AdaBoostClassifier,0.5109634437883785,131930.68260000675,1,8,1,42,1.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(100000),AdaBoostClassifier,0.6505399145409703,194199.91278675728,1,8,1,42,1.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(20000),AdaBoostClassifier,0.14442399329308087,108987.76173785693,1,8,1,42,2.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(30000),AdaBoostClassifier,0.1461798842465044,108698.82434247567,1,8,1,42,2.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(100000),AdaBoostClassifier,0.008093247856342578,147502.06845783186,1,8,1,42,2.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(20000),AdaBoostClassifier,-0.7193887122700577,104347.51886128783,1,8,1,42,3.0,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(30000),AdaBoostClassifier,-0.7042977214886055,109366.34048240888,1,8,1,42,3.0,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(100000),AdaBoostClassifier,-0.720736834289752,105766.65640855851,1,8,1,42,3.0,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(20000),AdaBoostClassifier,0.11834264303262054,112864.28216074631,1,8,1,60,0.1,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(30000),AdaBoostClassifier,0.1954803154714847,128962.17370149586,1,8,1,60,0.1,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(100000),AdaBoostClassifier,0.14240231114299384,160550.58062525094,1,8,1,60,0.1,100000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(20000),AdaBoostClassifier,0.3087575383319907,124393.85794613164,1,8,1,60,0.25,20000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(30000),AdaBoostClassifier,0.30064157306259776,133398.86147888834,1,8,1,60,0.25,30000
AdaBoostClassifier-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(100000),AdaBoostClassifier,0.39612933248231297,200476.7875423602,1,8,1,60,0.25,100000
