permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9759714648052464,0.3230617847545234,0.2870503597122302,0.36270608300170554,0.32621502209131076,0.3643835616438356,0.30395426393520725,0.3373952779893374,0.23679525222551928,0.4496124031007752,0.315751960085531,62037.3627564265,1,1,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0087681765258825,0.3322693637182659,0.27338651196519215,0.32132963988919666,0.41405202467149366,0.35135135135135137,0.3664259927797834,0.33190025795356837,0.22373887240356083,0.2861169837914024,0.5502494654312188,71369.99515059277,1,1,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9344499638656597,0.3109072231770748,0.2985294117647059,0.377516339869281,0.25840421223167276,0.3922705314009662,0.3000831255195345,0.29924953095684803,0.24094955489614242,0.5088090204369274,0.22736992159657876,49519.4713927474,1,1,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0775640637275654,0.3735400868062533,0.43521681997371875,0.3077522399688352,0.33459500378501134,0.47778418926716676,0.2949962658700523,0.30801393728223,0.3996138996138996,0.32166123778501626,0.36619718309859156,71784.40155586955,1,1,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.028014456734889,0.3426150389089178,0.34280639431616344,0.325,0.3602080624187256,0.4433384379785605,0.3123123123123123,0.29641519529159976,0.27944015444015446,0.33876221498371334,0.45898922949461474,60987.08472949934,1,1,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0602624508586227,0.37122144686539926,0.4462405094293412,0.3504877228388833,0.2635342185903984,0.45300845350571856,0.298567335243553,0.34354194407456723,0.43967181467181465,0.4242671009771987,0.21375310687655344,89727.60388129491,1,1,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0839818804834707,0.404009530470595,0.5036036036036036,0.34310850439882695,0.2372697724810401,0.5480392156862746,0.28074385122975404,0.27375,0.4658333333333333,0.4410933081998115,0.20936902485659656,95400.18745698089,1,1,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1415334808317137,0.41865213379781135,0.5084820445031945,0.28909718796250616,0.34395424836601307,0.5395044413277232,0.3033126293995859,0.30028530670470754,0.48083333333333333,0.2761545711592837,0.4024856596558317,83434.80641601217,1,1,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0981099356106825,0.36858067952876056,0.3746891406465874,0.34940223679136134,0.3740185581727338,0.5561936013125512,0.29569190600522194,0.2984054669703872,0.2825,0.42695570216776624,0.5009560229445507,91587.48111123155,1,1,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.038360393670663,0.43262562563272805,0.5591698263819597,0.2748772869254797,0.2043132803632236,0.6120576671035387,0.22865627319970305,0.2066590126291619,0.5146950771491551,0.34451901565995524,0.20202020202020202,93119.38331630062,1,1,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0003229278181336,0.4755538349829818,0.6834697217675941,0.2001150086256469,0.11673819742489269,0.6162927981109799,0.20591715976331362,0.24817518248175183,0.7670830271858927,0.19463087248322147,0.07631874298540965,93328.8655195887,1,1,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0925994320160248,0.44006549351900376,0.5510860820595335,0.2768230376219229,0.2646903123345685,0.6088888888888889,0.23669579030976967,0.250501002004008,0.5033063923585599,0.3333333333333333,0.28058361391694725,90816.1429823215,1,1,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.975134919957066,0.32530358185369257,0.32494099134539733,0.48767488341105925,0.16251904520060942,0.33963815789473684,0.3774492952904778,0.418848167539267,0.3114630467571644,0.6888331242158093,0.10081915563957151,93951.09185697214,2,1,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9810234589026078,0.33447314275375956,0.20116618075801748,0.4415140415140415,0.33834323663054877,0.2827868852459016,0.36145541783286683,0.37990580847723704,0.15610859728506787,0.5671267252195734,0.30497794580970383,64035.57334874877,2,1,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0729613325952392,0.36496591599046135,0.23283082077051928,0.4115132516386435,0.4286172601860764,0.2617702448210923,0.37702349869451696,0.4366013071895425,0.2096530920060332,0.45294855708908405,0.4209199747952111,74742.89762702245,2,1,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.032031866341387,0.3557587877952007,0.46102819237147596,0.2774566473988439,0.29354702657106707,0.4027317880794702,0.3169811320754717,0.3375363724539282,0.5390581717451524,0.24669603524229075,0.25970149253731345,87774.72547742957,2,1,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1211661490870108,0.3757507613792109,0.3986409966024915,0.2626353790613718,0.45988977342314763,0.40764331210191085,0.3407494145199063,0.3899273104880582,0.39002770083102495,0.21365638766519823,0.5604477611940298,87075.14959033461,2,1,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1087070267831518,0.3651864134738085,0.32761310452418096,0.35852981969486825,0.4225641025641026,0.375,0.3396846254927727,0.3899053627760252,0.29085872576177285,0.37958883994126286,0.46119402985074626,87175.16689747518,2,1,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9307840234697977,0.3424855897920727,0.4566125290023202,0.28172757475083055,0.19244391971664698,0.45703669298653044,0.23322332233223322,0.3041044776119403,0.4561891515994437,0.35570469798657717,0.14075993091537134,84426.69598110611,2,1,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.7161574120972682,0.24894141995879135,0.28251400124455506,0.3069767441860465,0.12666666666666668,0.4295175023651845,0.21235521235521235,0.2777777777777778,0.21047751506722298,0.5536912751677853,0.08203799654576857,92885.73938280065,2,1,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0005655438407945,0.3329019016883623,0.33362598770851626,0.24828263002944062,0.41865692610283783,0.4523809523809524,0.2990543735224586,0.3102873802582257,0.26425591098748263,0.21224832214765102,0.6433506044905009,89267.88637710451,2,1,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9383529447620793,0.40529711239411137,0.5791476407914764,0.2786568892319568,0.0805484147386461,0.5593531789783168,0.22804801010739104,0.2315270935960591,0.6003944773175542,0.35813492063492064,0.0487551867219917,96532.72346997989,2,1,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9476138573844369,0.4042953497206667,0.5724965571512887,0.2106202588130299,0.1644970414201183,0.5710361067503925,0.19140308191403083,0.19146005509641872,0.5739644970414202,0.23412698412698413,0.1441908713692946,79610.90143320596,2,1,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p2-tr1-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1199910698808675,0.4139410754993352,0.4930478922975061,0.2586999343401182,0.36824324324324326,0.5596192384769539,0.3825242718446602,0.27304609218436876,0.4406311637080868,0.19543650793650794,0.5653526970954357,102380.32795490486,2,1,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0838002658456418,0.38964116433592394,0.16719442685243827,0.4557522123893805,0.46085362660382295,0.2558139534883721,0.4355179704016913,0.41924726060028583,0.12417685794920037,0.4779582366589327,0.5116279069767442,59854.418671211315,4,1,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.013025639789995,0.35899067027658454,0.19179664933564414,0.3943122778233525,0.42691671263099834,0.24850299401197604,0.37299534402483187,0.4060860440713536,0.1561618062088429,0.41821345707656615,0.45,56056.505228264345,4,1,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9140690521763271,0.3292163378937634,0.13654096228868662,0.321669341894061,0.4558587479935795,0.22105263157894736,0.3601725377426312,0.376372586141613,0.09877704609595485,0.2906032482598608,0.577906976744186,35780.155355273986,4,1,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1474679055179386,0.3830311996572798,0.32382310984308127,0.42471472307264124,0.39893007260221625,0.3429003021148036,0.37020863658418246,0.46524064171123,0.30675675675675673,0.4980417754569191,0.3491638795986622,77640.8128990473,4,1,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8947240365124042,0.2978784154296149,0.2765374069721896,0.24523364485981305,0.3729529846804015,0.32898415657036345,0.2869641294838145,0.30816237450894807,0.23851351351351352,0.21409921671018275,0.47224080267558527,55382.03078233698,4,1,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9885658420767096,0.32949786848089674,0.2696335078534031,0.3023097826086956,0.4166225516146109,0.3805418719211823,0.3151558073654391,0.34472185720543147,0.2087837837837838,0.2904699738903394,0.5264214046822743,46815.16241033729,4,1,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0477669296694794,0.3577068994467446,0.41606036108865535,0.25863596102745795,0.37307060755336613,0.4269911504424779,0.31130063965884863,0.3225440090857467,0.40567524960588547,0.22121212121212122,0.4423676012461059,79204.70498325233,4,1,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9013247964897051,0.3197211432815487,0.4377121963959258,0.3538417918911256,0.1097708082026538,0.43509865005192105,0.2827367467149977,0.24331550802139038,0.44035733053074094,0.4727272727272727,0.07087227414330217,90065.5185799892,4,1,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9246937917210019,0.3354401804900352,0.5078707539353771,0.2819463392451114,0.13487669854051332,0.41914529914529913,0.35267349260523323,0.1906116642958748,0.6442459274829218,0.23484848484848486,0.1043613707165109,82489.17078905654,4,1,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0115395708618617,0.3802474657306032,0.5019096832172546,0.20789327404113395,0.30173661360347326,0.5185701021355618,0.2791044776119403,0.24777183600713013,0.4862864606007836,0.16563330380868024,0.38575393154486587,80478.05453129113,4,1,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0291471935236427,0.38733800732092905,0.5067091198544462,0.35554152194505845,0.16689655172413795,0.5304761904761904,0.27625122669283614,0.32791327913279134,0.4849804092294297,0.49867139061116034,0.11193339500462535,98638.32381859045,4,1,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p4-tr1-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0243357222651368,0.40186805185958896,0.5685969685192382,0.26038500506585616,0.19535374868004224,0.5135135135135135,0.30414201183431955,0.22755227552275523,0.6369177187636047,0.22763507528786536,0.1711378353376503,89442.16721922078,4,1,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0488367416997422,0.4056064848276522,0.07471264367816093,0.5300108342361863,0.44411326378539495,0.2708333333333333,0.4423146473779385,0.4662077596996245,0.043333333333333335,0.6610810810810811,0.42401821286283436,71137.21490982774,6,1,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8083178479356106,0.3040282117900821,0.11490683229813667,0.5216757741347905,0.17173524150268338,0.19072164948453607,0.3934065934065934,0.40083507306889354,0.08222222222222222,0.774054054054054,0.10927717700626068,86571.40674928381,6,1,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.068897873225359,0.39202590054835373,0.17870257037943696,0.451131971286582,0.43906333155934,0.1989100817438692,0.46106094808126413,0.4122938530734633,0.1622222222222222,0.4416216216216216,0.4695503699487763,70430.76270797489,6,1,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.000782118209408,0.3436034313689647,0.20525532969757063,0.47602905569007264,0.3194977328217649,0.296137339055794,0.3973322554567502,0.34332833583208394,0.15705614567526555,0.5935990338164251,0.2987606001304631,76286.9182264573,6,1,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0089466912952427,0.3301734249070604,0.3932773109243697,0.21082089552238806,0.4048484848484849,0.3117229129662522,0.46311475409836067,0.37804187889077534,0.5326251896813353,0.13647342995169082,0.43574690150032613,99358.86247340385,6,1,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0498950462220875,0.36392422020336607,0.12392426850258174,0.46635018151354374,0.459620596205962,0.2541176470588235,0.43376623376623374,0.39313861845155307,0.0819423368740516,0.5042270531400966,0.553163731245923,68001.18927059027,6,1,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.972278655532985,0.339246823171287,0.4834038761416797,0.32025879498584714,0.1686159844054581,0.3972903698279019,0.37678401522359656,0.2386206896551724,0.6171786120591581,0.27848101265822783,0.1303692539562924,96395.12431612608,6,1,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.7909991972795458,0.2720112732036268,0.3124335812964931,0.4383157894736842,0.040249826509368494,0.4140845070422535,0.3128004807692308,0.2543859649122807,0.2508532423208191,0.7320675105485233,0.02185380557648832,93499.54610881984,6,1,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8323013510227348,0.28245407886152446,0.31600547195622436,0.34061349693251536,0.17568238213399504,0.39622641509433965,0.26159065209197135,0.25726744186046513,0.2627986348122867,0.4880450070323488,0.1333835719668425,57782.46898037143,6,1,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9403647200503373,0.3706024122405187,0.5731637881951034,0.16550241805480925,0.20169851380042464,0.4869396968719768,0.23950233281493002,0.2490170380078637,0.6964944649446494,0.12643678160919541,0.1694915254237288,94864.11645098354,6,1,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.815244944573602,0.34824372440498647,0.6235254465790361,0.02900763358778626,0.16271186440677968,0.49123738714816784,0.20652173913043478,0.2218798151001541,0.8533210332103321,0.015599343185550082,0.12845673505798394,99022.07232585635,6,1,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p6-tr1-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8942013013430329,0.35054573966885727,0.5281111813013266,0.25337714494341,0.1127129750982962,0.4858581944982565,0.22813938198553582,0.2123456790123457,0.5784132841328413,0.2848932676518883,0.0767172167707404,76011.47122938838,6,1,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw42-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.975123342700154,0.32299920790904074,0.2996305005038629,0.32927653820148745,0.3462163039948035,0.3605497170573969,0.3109833971902937,0.31279342723004694,0.25632183908045975,0.34985632183908044,0.3876363636363636,64195.72639403947,1,1,1,42,0.1,20000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw42-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0216914678792437,0.3439646148462994,0.3801459854014598,0.3923215356928615,0.24922394678492243,0.3863501483679525,0.3367662203913491,0.31931818181818183,0.3741379310344828,0.4698275862068966,0.20436363636363636,71663.46074443976,1,1,1,42,0.1,30000,0.0004,14
DecisionTreeClassifier-p1-tr1-sw1-lw42-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.007049786236423,0.3291581133301683,0.2524790236460717,0.3921951219512195,0.36237564063913175,0.37528344671201813,0.3582887700534759,0.3094747682801236,0.19022988505747127,0.4331896551724138,0.4370909090909091,50442.999875772846,1,1,1,42,0.1,100000,0.0004,14
