permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(20000),GaussianNB,-0.8061596798580546,97286.01867783004,1,8,1,24,0.1,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(30000),GaussianNB,-0.8457287479666675,92817.64465206767,1,8,1,24,0.1,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(100000),GaussianNB,-0.8377110059102293,83002.78450477989,1,8,1,24,0.1,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(20000),GaussianNB,-0.8354313639384501,94363.66320747645,1,8,1,24,0.25,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(30000),GaussianNB,-0.8439722361574797,91913.6627553748,1,8,1,24,0.25,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(100000),GaussianNB,-0.8520897562701462,85189.91660861505,1,8,1,24,0.25,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(20000),GaussianNB,-0.8361330191350393,99257.65612807221,1,8,1,24,0.5,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(30000),GaussianNB,-0.8271271563498197,96184.77694386865,1,8,1,24,0.5,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(100000),GaussianNB,-0.8424044022671968,92084.87470321357,1,8,1,24,0.5,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(20000),GaussianNB,-0.41233756355635043,100958.29832486047,1,8,1,24,0.8,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(30000),GaussianNB,-0.6439504105826372,96968.10994495463,1,8,1,24,0.8,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(100000),GaussianNB,-0.643781835435786,97005.47302756562,1,8,1,24,0.8,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(20000),GaussianNB,-0.5819718277972303,98480.85184534453,1,8,1,24,1.0,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(30000),GaussianNB,-0.6465550284520765,101094.92693674874,1,8,1,24,1.0,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(100000),GaussianNB,-0.5103862789911062,78745.33304216947,1,8,1,24,1.0,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(20000),GaussianNB,-0.7389147718052582,94290.28916143725,1,8,1,24,2.0,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(30000),GaussianNB,-0.7202365048956882,87690.17295218748,1,8,1,24,2.0,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(100000),GaussianNB,-0.8558662884906827,71282.35361823847,1,8,1,24,2.0,100000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(20000),GaussianNB,-1.4209122509505137,94529.03711475234,1,8,1,24,3.0,20000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(30000),GaussianNB,-1.3991285957470518,95557.1387899813,1,8,1,24,3.0,30000
GaussianNB-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(100000),GaussianNB,-1.392979878314332,75218.38016076921,1,8,1,24,3.0,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(20000),GaussianNB,-0.8162201517650285,96796.22708958492,1,8,1,42,0.1,20000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(30000),GaussianNB,-0.8291403574418625,94588.37268062485,1,8,1,42,0.1,30000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(100000),GaussianNB,-0.8210281242764741,83535.94926295598,1,8,1,42,0.1,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(20000),GaussianNB,-0.8573050521264829,100072.36442699489,1,8,1,42,0.25,20000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(30000),GaussianNB,-0.8594815022001907,95875.55100714465,1,8,1,42,0.25,30000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(100000),GaussianNB,-0.7973009720250852,92061.54405011973,1,8,1,42,0.25,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(20000),GaussianNB,-0.8780754743350605,98364.72031088547,1,8,1,42,0.5,20000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(30000),GaussianNB,-0.8247273447789334,98263.913431829,1,8,1,42,0.5,30000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(100000),GaussianNB,-0.8199514417218587,96308.19874453341,1,8,1,42,0.5,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(20000),GaussianNB,-0.6525789751076143,94932.68057462166,1,8,1,42,0.8,20000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(30000),GaussianNB,-0.5917752282000808,96981.34864623104,1,8,1,42,0.8,30000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(100000),GaussianNB,-0.6926267536016535,94650.9864709363,1,8,1,42,0.8,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(20000),GaussianNB,-0.4963039978258321,98882.5533315004,1,8,1,42,1.0,20000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(30000),GaussianNB,-0.7532345311412589,96835.15284697514,1,8,1,42,1.0,30000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(100000),GaussianNB,-0.6399598807596802,92989.21778341908,1,8,1,42,1.0,100000
GaussianNB-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(20000),GaussianNB,-1.0438516998668437,96384.30086563306,1,8,1,42,2.0,20000
