permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p1-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2393220012713273,0.41782116140865244,0.4919786096256685,0.3508274231678487,0.39651596847781007,0.393863717445594,0.5330459770114943,0.4742063492063492,0.6551928783382789,0.26145172656800564,0.3406985032074127,101256.52776745566,1,3,1,24,0.1,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.189605829758226,0.40376763444521335,0.5155370177267987,0.33639439342677624,0.33767441860465114,0.397427652733119,0.5353846153846153,0.4859437751004016,0.7335311572700297,0.2452431289640592,0.2587312900926586,107771.8127871856,1,3,1,24,0.1,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1610869423194579,0.39429402154652066,0.5092050209205022,0.28014744602422326,0.3717344753747323,0.39321486268174477,0.5541666666666667,0.4656652360515021,0.7222551928783383,0.18745595489781536,0.30933713471133284,135236.2757066835,1,3,1,24,0.1,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3768487013726838,0.4544852109117413,0.43518020441097366,0.4798850574712644,0.46178343949044587,0.491494532199271,0.42930591259640105,0.4444444444444444,0.39044401544401547,0.5439739413680782,0.48053024026512015,100529.7657715152,1,3,1,24,0.25,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3673254843196678,0.4538818693827328,0.4450928381962865,0.48944860449285227,0.4327840416305291,0.49411071849234395,0.42046783625730993,0.454049135577798,0.4049227799227799,0.5855048859934854,0.4134217067108534,109344.19842447166,1,3,1,24,0.25,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.394906062949889,0.458432102778706,0.4304908143679737,0.4822530864197531,0.4821621621621621,0.4984126984126984,0.45821114369501464,0.42665816326530615,0.37886100386100385,0.508957654723127,0.5542667771333886,160964.5059926914,1,3,1,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3159520684095205,0.403235749268242,0.3199263125575683,0.5144954128440367,0.4815303430079156,0.6079346557759626,0.42127403846153844,0.3675730110775428,0.21708333333333332,0.6606974552309143,0.6978967495219885,95540.8860482955,1,3,1,24,0.5,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3076356699553737,0.3947458272707644,0.2980466288594833,0.5184931506849315,0.49109589041095886,0.6111111111111112,0.4072081764389457,0.3826040554962647,0.19708333333333333,0.7134778510838832,0.6854684512428298,108542.9492674032,1,3,1,24,0.5,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.377920883883271,0.4366389802958123,0.38332860788205275,0.5066469719350074,0.4879453040662109,0.5998225377107365,0.416514875531269,0.3912290825158684,0.2816666666666667,0.646559849198869,0.6481835564053537,166898.35396885418,1,3,1,24,0.5,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1935675025717165,0.34366207098025026,0.2643118148599269,0.4871253693541579,0.4421303183576316,0.7722419928825622,0.3911864406779661,0.30080971659919026,0.1594415870683321,0.645413870246085,0.8338945005611672,93377.9817027779,1,3,1,24,0.8,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2109120665418855,0.34765684832025334,0.26569165143205364,0.49511677282377925,0.45010364228605265,0.7785714285714286,0.3990417522245038,0.3057119871279163,0.16017634092578986,0.6521252796420581,0.8529741863075196,105997.14743751645,1,3,1,24,0.8,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.230328597229321,0.3680185877122878,0.30638547158758056,0.48173207036535853,0.4422110552763818,0.7557803468208093,0.4036281179138322,0.3001605136436597,0.19213813372520205,0.5973154362416108,0.8395061728395061,162202.79968114826,1,3,1,24,0.8,100000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1244402126075443,0.37121128317689905,0.4367653972731546,0.3654863654863655,0.3221884498480243,0.3172814207650273,0.5202780996523755,0.5181564245810056,0.700603318250377,0.2816813048933501,0.23377441713925645,102200.6649094811,2,3,1,24,0.1,20000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2367385885301938,0.41177694283799515,0.42080127354736,0.4290962527553269,0.3868410622275069,0.32460090053213264,0.5177304964539007,0.5213675213675214,0.5980392156862745,0.36637390213299875,0.3074984247006931,107579.77470174569,2,3,1,24,0.1,30000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1707210068970297,0.38811990304929667,0.4274509803921569,0.41241013999243287,0.3308598865124399,0.3166303558460421,0.5195424213536701,0.5383522727272727,0.6576168929110106,0.34190715181932246,0.23881537492123503,139381.13043153926,2,3,1,24,0.1,100000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3251776585055692,0.4321352945212868,0.3458596607914866,0.5032258064516129,0.4760921912624699,0.43261231281198004,0.4487917146144994,0.4416081684747926,0.2880886426592798,0.5726872246696035,0.5164179104477612,96519.38215138746,2,3,1,24,0.25,20000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3253674902639283,0.4299325311100223,0.32300730943264877,0.5234128124102269,0.4789473684210526,0.4344569288389513,0.4299197734780557,0.4825757575757576,0.25706371191135735,0.6688693098384728,0.4753731343283582,106051.54949777658,2,3,1,24,0.25,30000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3167350738351231,0.42816788804951217,0.331664998331665,0.5047021943573669,0.48036788114609125,0.41694630872483224,0.4403719912472648,0.4566240753194351,0.2753462603878116,0.591042584434655,0.5067164179104477,150282.18713288492,2,3,1,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.188898634825615,0.34730563132704523,0.17111022682053323,0.5183160196828868,0.499472388322195,0.6039325842696629,0.3844282238442822,0.42136498516320475,0.09967547519703292,0.7953020134228188,0.613126079447323,93839.52708859622,2,3,1,24,0.5,20000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2168911593604985,0.36578677587351066,0.2223875046485682,0.5081152699569393,0.4863883847549909,0.5620300751879699,0.41981390257252327,0.3743016759776536,0.13861845155308297,0.6434563758389261,0.694300518134715,108987.94854182328,2,3,1,24,0.5,30000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2013397471571703,0.3560826786663828,0.19655442443226312,0.5104510451045104,0.4943342776203966,0.6322418136020151,0.37970540098199673,0.4189675870348139,0.11636532220676866,0.7785234899328859,0.6027633851468048,158460.08362290933,2,3,1,24,0.5,100000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1626200975806074,0.332578662930612,0.2271505376344086,0.48438102583879666,0.45108853410740213,0.7664399092970522,0.39621451104100947,0.313180169286578,0.13333333333333333,0.623015873015873,0.8060165975103735,96095.45476868872,2,3,1,24,0.8,20000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2289201763378597,0.35634661601457784,0.25417622011136587,0.5014615134784022,0.47328244274809167,0.749034749034749,0.37276677933365526,0.3555787278415016,0.15305719921104535,0.7658730158730159,0.7074688796680498,106300.7407584088,2,3,1,24,0.8,30000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1378385800443265,0.31947279167587883,0.2047945205479452,0.48307475317348386,0.44996930632289744,0.7766233766233767,0.37472647702407,0.31952920662598083,0.11794871794871795,0.6795634920634921,0.7603734439834025,159915.55598878267,2,3,1,24,0.8,100000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2713010775473277,0.43680755278264005,0.33443344334433445,0.44413982179575057,0.49272781240724256,0.27403846153846156,0.542713567839196,0.5033353547604609,0.42897460018814676,0.37587006960556846,0.48255813953488375,103880.66973469353,4,3,1,24,0.1,20000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1848776722283012,0.3983045657825887,0.3718820861678005,0.3739030904235025,0.43909249563699826,0.2661257606490872,0.5462653288740246,0.5493449781659389,0.6171213546566322,0.2842227378190255,0.3656976744186046,110436.17565863288,4,3,1,24,0.1,30000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2659485044752408,0.4342747063154394,0.3377365226704748,0.4343922651933701,0.49381971661139584,0.2721518987341772,0.5366894197952219,0.5128365685660614,0.444967074317968,0.3648491879350348,0.4761627906976744,141312.64106038457,4,3,1,24,0.1,100000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2874547772653242,0.42973288015058675,0.32323996971990915,0.4570215776441457,0.5071932299012694,0.3674698795180723,0.4988416988416988,0.43853658536585366,0.2885135135135135,0.4216710182767624,0.6013377926421405,97889.12356922925,4,3,1,24,0.25,20000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.308167714022888,0.4365944716812473,0.33106575963718815,0.4590956161546428,0.5180063382310572,0.37564322469982847,0.48717948717948717,0.4549595141700405,0.2959459459459459,0.43407310704960833,0.6013377926421405,106793.12795769292,4,3,1,24,0.25,30000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2712447385278525,0.4247141972573243,0.27147766323024053,0.47968021319120585,0.5200868621064061,0.37264150943396224,0.4897959183673469,0.43764275925079943,0.21351351351351353,0.4699738903394256,0.6408026755852843,146459.4334318397,4,3,1,24,0.25,100000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1073759523526236,0.340021977360881,0.15144561725562183,0.46843033509700177,0.48750000000000004,0.5978260869565217,0.4382838283828383,0.3589837997054492,0.08670520231213873,0.503030303030303,0.7593457943925234,98570.63462950989,4,3,1,24,0.5,20000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1209248110661774,0.3446579534412442,0.15714938328003655,0.467513069454817,0.49626235833132376,0.6013986013986014,0.46097201767304863,0.3594132029339853,0.09038360483447189,0.47424242424242424,0.8014018691588785,110646.43406754448,4,3,1,24,0.5,30000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1264825849522881,0.3449427700889337,0.14688221709006927,0.4814814814814815,0.4981188863807374,0.6068702290076335,0.446822308690013,0.36736958934517205,0.08355228586442459,0.521969696969697,0.7733644859813084,149318.19746545827,4,3,1,24,0.5,100000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0443913182733067,0.2976466704581973,0.15718157181571815,0.44528619528619523,0.4419235511713933,0.7097902097902098,0.4242181234963913,0.3012777404169469,0.08837614279494993,0.4685562444641275,0.8288621646623496,99676.09882976649,4,3,1,24,0.8,20000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.058238807367245,0.30771011189201136,0.1826449412656309,0.43327239488117003,0.4423214712204442,0.7046783625730995,0.4475920679886686,0.29813264649066323,0.10491946016543317,0.41984056687333926,0.8566142460684552,108212.2740049452,4,3,1,24,0.8,30000,0.0004,14
LogisticRegression-p4-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0212932401315293,0.2967897284114442,0.17590822179732313,0.4106024096385542,0.4347826086956521,0.7232704402515723,0.4503171247357294,0.2898550724637681,0.1001306051371354,0.3773250664304694,0.8695652173913043,145774.27044497064,4,3,1,24,0.8,100000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1125073993632137,0.3793389060761362,0.3212698412698412,0.3261634728197106,0.46507408527366195,0.2248888888888889,0.5898161244695899,0.49612903225806454,0.5622222222222222,0.2254054054054054,0.43767785998861697,107137.07765176932,6,3,1,24,0.1,20000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.114909315792071,0.38574931468911694,0.29089615931721197,0.3115537848605578,0.5124593716143012,0.21391213389121339,0.5924242424242424,0.4888888888888889,0.45444444444444443,0.21135135135135136,0.5384177575412635,110739.56059337276,6,3,1,24,0.1,30000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1536379572904054,0.3973840580417959,0.3143631436314363,0.35997067448680353,0.4793041391721656,0.22612085769980506,0.5592255125284739,0.5066582117945466,0.5155555555555555,0.2654054054054054,0.45475241889584517,132317.45015752804,6,3,1,24,0.1,100000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.219728228701473,0.40711829095026625,0.3690663313423452,0.36087824351297404,0.48978365384615385,0.31508319914117017,0.5323910482921084,0.45403899721448465,0.44537177541729894,0.27294685990338163,0.5316373124592303,105010.93803623236,6,3,1,24,0.25,20000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2414684590684126,0.4177968541122405,0.33108348134991117,0.4148148148148148,0.4955701629036867,0.31128924515698064,0.5363984674329502,0.4409969481180061,0.3535660091047041,0.33816425120772947,0.5655577299412916,110344.81827292955,6,3,1,24,0.25,30000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2547531996672963,0.42210617793055055,0.3446174678402167,0.43080198722498225,0.47933374460209743,0.3111246943765281,0.5223752151462995,0.45465184318314805,0.38619119878603947,0.3665458937198068,0.5068493150684932,141184.25346647447,6,3,1,24,0.25,100000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1709702246245246,0.37793124183790755,0.2512195121951219,0.4335053592695514,0.48624535315985135,0.44017094017094016,0.4977210574293528,0.36225997045790254,0.1757679180887372,0.38396624472573837,0.7392614920874152,102111.39372782329,6,3,1,24,0.5,20000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.219571633374641,0.39632126416419833,0.2899110939311944,0.45154419595314166,0.47811634349030474,0.45235223160434257,0.4559139784946237,0.3780113885238721,0.21331058020477817,0.4472573839662447,0.6503391107761869,105866.4308379614,6,3,1,24,0.5,30000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1926463836152248,0.38662508193289635,0.2755659640905543,0.43272171253822633,0.4843587069864443,0.43905472636815923,0.474036850921273,0.37026703866082106,0.20079635949943117,0.3980309423347398,0.7000753579502638,141730.1363347787,6,3,1,24,0.5,100000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0030474125710076,0.301393307526364,0.18788819875776397,0.3839643652561247,0.431194848557119,0.5931372549019608,0.4196689386562804,0.2942708333333333,0.11162361623616236,0.35385878489326766,0.8064228367528992,107032.74203634553,6,3,1,24,0.8,20000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0444206221212273,0.30957306567551013,0.17429367290091527,0.4326269492203119,0.43750000000000006,0.6347826086956522,0.421667965705378,0.30392497394928797,0.10101476014760148,0.44417077175697867,0.7805530776092774,113233.52930090507,6,3,1,24,0.8,30000,0.0004,14
LogisticRegression-p6-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0370441294790544,0.31689790285013464,0.2177024482109228,0.3896692342546443,0.4296724470134875,0.5934291581108829,0.43478260869565216,0.29429231276806334,0.13330258302583026,0.3530377668308703,0.7957181088314005,136651.0470019055,6,3,1,24,0.8,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.13273441361931,0.389779872255476,0.5338865836791148,0.2564389697648376,0.34240886017535765,0.40680517916290276,0.5812182741116751,0.4684343434343434,0.7764367816091954,0.16451149425287356,0.26981818181818185,106272.55303491419,1,3,1,42,0.1,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2295037000255853,0.41908772732708854,0.528702163061564,0.31085353003161226,0.38994800693240905,0.41427640156453716,0.5830039525691699,0.48231511254019294,0.7304597701149426,0.21192528735632185,0.32727272727272727,108724.93147576522,1,3,1,42,0.1,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.143089820609116,0.39265878108157143,0.5309236947791166,0.24573378839590446,0.3664323374340949,0.4080246913580247,0.5901639344262295,0.462819089900111,0.7597701149425288,0.15517241379310345,0.30327272727272725,133848.41363822864,1,3,1,42,0.1,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.4196934075022218,0.4730234728538192,0.4721095334685598,0.4822373393801966,0.4653465346534654,0.5186629526462395,0.4375857338820302,0.44976076555023925,0.43322475570032576,0.5370370370370371,0.48205128205128206,99384.84967035604,1,3,1,42,0.25,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.411495871110716,0.4795965763269296,0.5123198512319851,0.4739147749900438,0.42526124488868694,0.5118439386901997,0.4497354497354497,0.4539282250242483,0.5127966496044672,0.5008417508417509,0.4,108316.1172049556,1,3,1,42,0.25,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.421811771815868,0.48697666177184734,0.5355364418288818,0.38854805725971364,0.4977272727272727,0.5213750550903482,0.4947916666666667,0.44693877551020406,0.5504885993485342,0.31986531986531985,0.5615384615384615,149933.76820105012,1,3,1,42,0.25,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3314266602737288,0.41283352772213666,0.35078534031413616,0.4917206623470122,0.48892065761258036,0.6449197860962567,0.38631221719457015,0.37915742793791574,0.24091090691170594,0.6762376237623763,0.6881287726358148,99112.29835401152,1,3,1,42,0.5,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3925519002614188,0.44340176939939757,0.4017635712317443,0.49712230215827335,0.4936660268714012,0.6474245115452931,0.3903954802259887,0.399130974549969,0.2912504994007191,0.6841584158415842,0.6468812877263581,113828.01367904205,1,3,1,42,0.5,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.2925796727715744,0.3941344815224162,0.3205828779599271,0.4862719153159113,0.4857248794957361,0.6675094816687737,0.3651266766020864,0.38461538461538464,0.21094686376348382,0.7277227722772277,0.6589537223340041,171268.3856462933,1,3,1,42,0.5,100000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1695373208849575,0.33698646356802725,0.27580225498699046,0.4620196604110813,0.4317154054868857,0.8457446808510638,0.3610335195530726,0.2851453604141776,0.16476683937823836,0.641439205955335,0.8883374689826302,92057.98119211532,1,3,1,42,0.8,20000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1993435292328574,0.34668394748693476,0.28522434981423267,0.4711996535296666,0.44291952588895817,0.8261589403973509,0.36194278110445777,0.29583333333333334,0.17236614853195165,0.674937965260546,0.8808933002481389,107101.10949405386,1,3,1,42,0.8,30000,0.0004,14
LogisticRegression-p1-tr3-sw1-lw42-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.163658481079424,0.32853992222311923,0.25984714873603765,0.48063462435837606,0.4231767079850101,0.8717948717948718,0.3851907255048616,0.27562898986105894,0.1526770293609672,0.6389578163771712,0.9106699751861043,171259.82322677376,1,3,1,42,0.8,100000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw42-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0943462202682994,0.36147077408128714,0.4636343660733905,0.33066666666666666,0.30004518752824216,0.33470812182741116,0.5446559297218155,0.49404761904761907,0.7541100786275912,0.23739629865985962,0.2154445165476963,101544.07000355318,2,3,1,42,0.1,20000,0.0004,14
LogisticRegression-p2-tr3-sw1-lw42-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1069839334577687,0.365648559444208,0.465692784417884,0.3170842824601367,0.32420686657974795,0.3372875921769798,0.554140127388535,0.49078947368421055,0.7519656897784132,0.22208040842373963,0.24205061648280338,107076.70776388561,2,3,1,42,0.1,30000,0.0004,14
