permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p1-tr8-sw1-lw24-fa0.1-max20000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.46043811920826205,0.3421626608727058,0.5501118568232662,0.1697553743513714,0.2458563535911602,0.40390932982917216,0.4654471544715447,0.5181950509461426,0.8622019635343618,0.10380779691749774,0.16115889542779538,106931.90163811836,1,8,1,24,0.1,20000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.1-max30000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.44926180298855956,0.3454577370835771,0.5551347738917353,0.17057728119180635,0.24939045628700798,0.4067907280444009,0.4780793319415449,0.540785498489426,0.8737727910238429,0.10380779691749774,0.16206428248076052,108950.87693744757,1,8,1,24,0.1,30000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.1-max100000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.4811168193825206,0.3395358314241889,0.5556663343303423,0.15903067020068157,0.24075366364270762,0.40615384615384614,0.4827586206896552,0.5251141552511416,0.879382889200561,0.09519492293744333,0.1561792666364871,104216.79383673727,1,8,1,24,0.1,100000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.25-max20000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.20847971081679662,0.4359923602749251,0.6170397739621821,0.20788824979457685,0.34092477570738444,0.4919424709755675,0.5,0.498989898989899,0.8274555523171088,0.1312240663900415,0.2589098532494759,107933.46889136243,1,8,1,24,0.25,20000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.25-max30000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.26202187580274594,0.42744563345245085,0.6224544194477023,0.20712239050347933,0.2994100294985251,0.49075319435104237,0.4912621359223301,0.5049751243781094,0.8507723695715534,0.1312240663900415,0.21278825995807127,107824.76579967263,1,8,1,24,0.25,30000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.25-max100000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,-0.24135107807796885,0.43034219375649274,0.6199871327471584,0.21295546558704453,0.3089846603360117,0.4904156064461408,0.48523985239852396,0.5096385542168674,0.8426114835324978,0.13641078838174273,0.22169811320754718,100236.2861533853,1,8,1,24,0.25,100000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.5-max20000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,0.060009143307462987,0.5183235646674758,0.6477848798765704,0.35018587360594794,0.3725631768953069,0.5772932626203103,0.45375722543352603,0.45342706502636204,0.7378860155661562,0.2851089588377724,0.3161764705882353,106453.36487078943,1,8,1,24,0.5,20000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.5-max30000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,0.11791051076265202,0.5289192135940186,0.6481729055258466,0.3728935102187164,0.39581076200794507,0.5826156619266973,0.4573438874230431,0.48197009674582236,0.7303540045192066,0.31476997578692495,0.33578431372549017,105573.1051656792,1,8,1,24,0.5,30000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.5-max100000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,0.11173772531040582,0.5229263550379794,0.6361149110807113,0.3595342066957788,0.41207697412076977,0.5825850908331593,0.45072992700729925,0.44934876989869754,0.7004770273663068,0.2990314769975787,0.3805147058823529,85712.81458525923,1,8,1,24,0.5,100000,0.0015,0
LogisticRegression-p1-tr8-sw1-lw24-fa0.8-max20000-fee_flat0-fee_pct0.0015-#0,0,LogisticRegression,0.20409506580113912,0.4995815043824995,0.5178646490121901,0.46405056623650254,0.47444444444444445,0.7102229054573405,0.36299958796868564,0.38159070598748884,0.40749724366041895,0.6430656934306569,0.6270190895741556,85290.11366357526,1,8,1,24,0.8,20000,0.0015,0
