permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
SVC-p1-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8124625637884553,0.2634924810987364,0.15850815850815853,0.186020913593836,0.4679334916864608,0.3695652173913043,0.42462311557788945,0.323924362839134,0.10089020771513353,0.11909795630725863,0.84248039914469,95853.47067333414,1,1,1,24,0.1,20000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.6959785403698963,0.22466167663887943,0.12236710130391175,0.09904761904761905,0.4745638200183655,0.3948220064724919,0.5,0.31964374072241464,0.07240356083086054,0.05496828752642706,0.9208838203848895,98989.31300621663,1,1,1,24,0.1,30000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.7924217004140994,0.2584681100831333,0.17996453900709217,0.14988290398126466,0.4625742574257426,0.3555166374781086,0.4429065743944637,0.3202632300520976,0.12047477744807121,0.09020436927413672,0.8325017818959373,103515.4853219065,1,1,1,24,0.1,100000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.7142358364200165,0.31237337894543005,0.6296124749112244,0.05568445475638051,0.028938906752411578,0.46288308740068107,0.5538461538461539,0.4864864864864865,0.984073359073359,0.029315960912052116,0.014913007456503728,99809.0862108322,1,1,1,24,0.25,20000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.845597898616397,0.3111594264288064,0.4314036478984933,0.409272183449651,0.004922067268252667,0.47691408533021623,0.2948994252873563,0.25,0.3938223938223938,0.6685667752442996,0.0024855012427506215,100075.4243329044,1,1,1,24,0.25,30000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8091419970129524,0.33412878913414706,0.607383100902379,0.18560380725758477,0.01615508885298869,0.4601043997017151,0.3443708609271523,0.3225806451612903,0.8933397683397684,0.1270358306188925,0.008285004142502071,100395.13492100486,1,1,1,24,0.25,100000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.7749896467648576,0.3882770056739059,0.6929992630803243,0.06695278969957082,0.015037593984962407,0.536145952109464,0.375,0.4444444444444444,0.9795833333333334,0.036757775683317624,0.0076481835564053535,99770.84763155159,1,1,1,24,0.5,20000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8089256406882255,0.3952816191237457,0.6900029664787897,0.07560137457044673,0.043321299638989175,0.5356978350990327,0.42718446601941745,0.3870967741935484,0.9691666666666666,0.04147031102733271,0.022944550669216062,98959.19828283461,1,1,1,24,0.5,30000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.7511224986685875,0.38299609322825207,0.6942777696472998,0.02914389799635701,0.02770083102493075,0.535077825400406,0.43243243243243246,0.40540540540540543,0.9883333333333333,0.015080113100848256,0.014340344168260038,98859.49869292924,1,1,1,24,0.5,100000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8648043211731458,0.4746425084624673,0.747423408160384,0.046958377801494124,0.07042253521126761,0.606970878238936,0.5116279069767442,0.33980582524271846,0.9724467303453344,0.024608501118568233,0.03928170594837262,98598.016982409,1,1,1,24,0.8,20000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8828953474684997,0.4767044798336526,0.74363713920091,0.08257804632426988,0.05668016194331984,0.6065877986546045,0.41414141414141414,0.28865979381443296,0.9606906686260103,0.04586129753914989,0.031425364758698095,99486.05774519671,1,1,1,24,0.8,30000,0.0004,14
SVC-p1-tr1-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.8869454894848924,0.4766890704982538,0.7416179198173778,0.08893280632411067,0.05639476334340383,0.6062514578959646,0.3813559322033898,0.27450980392156865,0.9548126377663483,0.050335570469798654,0.031425364758698095,100580.32490590197,1,1,1,24,0.8,100000,0.0004,14
SVC-p2-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,SVC,0.6507080901675882,0.22467910946439504,0.09050911376492773,0.5111265646731572,0.04907241172950329,0.27169811320754716,0.35353535353535354,0.4880952380952381,0.05429864253393665,0.9222082810539524,0.0258349086326402,98581.5376716058,2,1,1,24,0.1,20000,0.0004,14
