permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(20000),SVC,0.10848168651899326,120033.9888913693,1,8,1,24,0.1,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(30000),SVC,0.14411486814160668,132028.790685286,1,8,1,24,0.1,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.1)-max(100000),SVC,0.16106431846735014,190878.46233687823,1,8,1,24,0.1,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(20000),SVC,0.3085204426700834,124106.80762707979,1,8,1,24,0.25,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(30000),SVC,0.23010008027560636,128954.13782536956,1,8,1,24,0.25,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.25)-max(100000),SVC,0.3069064486387677,193794.79987917474,1,8,1,24,0.25,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(20000),SVC,0.46213815332434094,119656.52394177127,1,8,1,24,0.5,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(30000),SVC,0.4405198577907248,125455.96356187956,1,8,1,24,0.5,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.5)-max(100000),SVC,0.459896519366218,182756.09638408446,1,8,1,24,0.5,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(20000),SVC,0.6722742806351505,118298.27195891061,1,8,1,24,0.8,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(30000),SVC,0.6807887287147014,126535.78262076862,1,8,1,24,0.8,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(0.8)-max(100000),SVC,0.6430139938580068,180730.29209917184,1,8,1,24,0.8,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(20000),SVC,0.6894238508149875,118385.3699707291,1,8,1,24,1.0,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(30000),SVC,0.6876232568735513,127822.90148425777,1,8,1,24,1.0,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(1)-max(100000),SVC,0.7080060157461674,174044.8327181861,1,8,1,24,1.0,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(20000),SVC,0.4046283573293641,108287.13455303787,1,8,1,24,2.0,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(30000),SVC,0.4722128321258823,113866.23720118243,1,8,1,24,2.0,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(2)-max(100000),SVC,0.44142837619348474,135829.95056895047,1,8,1,24,2.0,100000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(20000),SVC,-0.41141404395319436,104866.65587292016,1,8,1,24,3.0,20000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(30000),SVC,-0.41202108300464735,106702.05176089687,1,8,1,24,3.0,30000
SVC-p1-tr(8)-sw(1)-lw(24)-fa(3)-max(100000),SVC,-0.4123236266785475,116312.42925623589,1,8,1,24,3.0,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(20000),SVC,0.08525447530862373,115965.01494638807,1,8,1,42,0.1,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(30000),SVC,0.09347307086466583,124987.51470988286,1,8,1,42,0.1,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.1)-max(100000),SVC,0.11441831741352138,180216.39383267594,1,8,1,42,0.1,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(20000),SVC,0.272275987636988,118599.55255746626,1,8,1,42,0.25,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(30000),SVC,0.25432181314269164,123073.599861187,1,8,1,42,0.25,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.25)-max(100000),SVC,0.2969873308266102,178701.27643417715,1,8,1,42,0.25,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(20000),SVC,0.5124433522955653,115985.37984316106,1,8,1,42,0.5,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(30000),SVC,0.5775754252038623,127155.1618611362,1,8,1,42,0.5,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.5)-max(100000),SVC,0.5344921408438595,174989.34292535088,1,8,1,42,0.5,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(20000),SVC,0.7048157882089233,119046.37490974185,1,8,1,42,0.8,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(30000),SVC,0.6827517535812585,126744.38632953122,1,8,1,42,0.8,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(0.8)-max(100000),SVC,0.6841327672255872,182135.6040574978,1,8,1,42,0.8,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(20000),SVC,0.7732210211566285,116111.73929347892,1,8,1,42,1.0,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(30000),SVC,0.7564504981879007,121277.63147336367,1,8,1,42,1.0,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(100000),SVC,0.7826860767821441,172443.8088202117,1,8,1,42,1.0,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(20000),SVC,0.4594732927932843,109903.39050506172,1,8,1,42,2.0,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(30000),SVC,0.4412413527901755,114301.40304831375,1,8,1,42,2.0,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(100000),SVC,0.42319076357927954,142691.62318244207,1,8,1,42,2.0,100000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(20000),SVC,-0.18568467179147663,102187.97238609,1,8,1,42,3.0,20000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(30000),SVC,-0.19179568252570012,103450.09356435131,1,8,1,42,3.0,30000
SVC-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(100000),SVC,-0.18339108523429815,109142.90590884458,1,8,1,42,3.0,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(20000),SVC,0.0899334946581336,120801.47447455354,1,8,1,60,0.1,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(30000),SVC,0.06000192545671279,127195.40220098174,1,8,1,60,0.1,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(100000),SVC,0.09256437333830692,183038.3968393557,1,8,1,60,0.1,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(20000),SVC,0.233289379688572,116332.3484684634,1,8,1,60,0.25,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(30000),SVC,0.2023839564492984,124190.99864674108,1,8,1,60,0.25,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(100000),SVC,0.22919878912455904,173430.97913359417,1,8,1,60,0.25,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(20000),SVC,0.6252347662258511,118262.55647673456,1,8,1,60,0.5,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(30000),SVC,0.6278435152588577,123050.18904616692,1,8,1,60,0.5,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(100000),SVC,0.6157540274056861,169794.9922298447,1,8,1,60,0.5,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(20000),SVC,0.7357253615332369,117554.37461891687,1,8,1,60,0.8,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(30000),SVC,0.7551682534071704,126185.62906928963,1,8,1,60,0.8,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(100000),SVC,0.7659091017618996,186025.7612755691,1,8,1,60,0.8,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(20000),SVC,0.728947093973281,116320.9111203264,1,8,1,60,1.0,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(30000),SVC,0.748426783298398,122529.3964986959,1,8,1,60,1.0,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(100000),SVC,0.7862942370891295,168536.5295341584,1,8,1,60,1.0,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(20000),SVC,0.4509554393053684,110084.80219470836,1,8,1,60,2.0,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(30000),SVC,0.4435456271940711,114590.72954911542,1,8,1,60,2.0,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(100000),SVC,0.43800805621229366,140684.05544345718,1,8,1,60,2.0,100000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(20000),SVC,-0.3543347495117479,105238.45042270792,1,8,1,60,3.0,20000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(30000),SVC,-0.3909562042810353,105619.54235744319,1,8,1,60,3.0,30000
SVC-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(100000),SVC,-0.3700121324996055,113455.59638332485,1,8,1,60,3.0,100000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(20000),SVC,0.2219327158594785,115600.50444246062,1,8,1,180,0.1,20000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(30000),SVC,0.16422475658967362,128003.60432996266,1,8,1,180,0.1,30000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(100000),SVC,0.16556324185965376,184650.7208482672,1,8,1,180,0.1,100000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(20000),SVC,0.41602624538133537,115989.96309684633,1,8,1,180,0.25,20000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(30000),SVC,0.3846373240972052,124899.9674817006,1,8,1,180,0.25,30000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(100000),SVC,0.4152270700962619,179923.311119192,1,8,1,180,0.25,100000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(20000),SVC,0.7266130553303274,119744.40176874447,1,8,1,180,0.5,20000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(30000),SVC,0.7106795105514245,129836.16002889552,1,8,1,180,0.5,30000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(100000),SVC,0.7358899114745725,186435.27935932088,1,8,1,180,0.5,100000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(20000),SVC,0.794644580639395,116632.70127744641,1,8,1,180,0.8,20000
SVC-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(30000),SVC,0.799496781116025,123850.80659800455,1,8,1,180,0.8,30000
