permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(0)-fee_pct(0)-#(0)),0,LogisticRegression,0.9952753050319921,0.9643091498997552,0.9699801425067165,0.9503355704697987,0.9631632308212235,0.9429934135816489,0.998589562764457,0.9972008397480756,0.9985569985569985,0.9065300896286812,0.9313725490196079,512452.2315427198,1,8,2,42,0.5,100000,0.0,0
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(13)-fee_pct(0)-#(0)),0,LogisticRegression,0.9939780576379005,0.9597072618099272,0.9662083430435795,0.9445378151260505,0.9575263336731226,0.9371609403254972,0.9943382873319179,0.997169143665959,0.9971139971139971,0.8994878361075545,0.9209150326797385,469319.30510677997,1,8,2,42,0.5,100000,0.0,13
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(80)-fee_pct(0)-#(0)),0,LogisticRegression,0.9950391030638016,0.9637351772650229,0.9695129073706343,0.9468371467025573,0.9652847994607346,0.9425391778332954,0.997872340425532,0.9965205288796103,0.9980759980759981,0.9007682458386683,0.9359477124183007,285301.3700784826,1,8,2,42,0.5,100000,0.0,80
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(100)-fee_pct(0)-#(0)),0,LogisticRegression,0.9944781283710441,0.9615028746963428,0.9677193800256381,0.9460552933243426,0.9603792753132409,0.938729369206421,0.9992877492877493,0.9964862965565706,0.9985569985569985,0.8982074263764405,0.9267973856209151,230304.88386190915,1,8,2,42,0.5,100000,0.0,100
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(125)-fee_pct(0)-#(0)),0,LogisticRegression,0.9937262642867248,0.9592549377250155,0.9658865991384328,0.940500338066261,0.9603792753132409,0.9361317986910404,0.9964183381088825,0.9964862965565706,0.9975949975949976,0.8905249679897568,0.9267973856209151,157297.51274229446,1,8,2,42,0.5,100000,0.0,125
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(130)-fee_pct(0)-#(0)),0,LogisticRegression,0.9950003930922976,0.9634634720730545,0.9693008054161317,0.9475806451612903,0.9638146770375381,0.9417101383533681,0.9971711456859972,0.9985984583041345,0.9985569985569985,0.9026888604353394,0.9313725490196079,143063.89230294398,1,8,2,42,0.5,100000,0.0,130
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(135)-fee_pct(0)-#(0)),0,LogisticRegression,0.9942020781297991,0.9603984334212243,0.966802562609202,0.9464826657691013,0.9572010869565217,0.9374294104359612,0.9978708303761533,0.9964639321074965,0.9980759980759981,0.9001280409731114,0.9209150326797385,127816.23948519048,1,8,2,42,0.5,100000,0.0,135
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(140)-fee_pct(0)-#(0)),0,LogisticRegression,0.9956804645252099,0.9658558461158647,0.9711808809746955,0.9521258788081687,0.965401410816258,0.9467793513019643,0.9978947368421053,0.9930891499654457,0.9968734968734969,0.910371318822023,0.9392156862745098,114226.92814523049,1,8,2,42,0.5,100000,0.0,140
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(145)-fee_pct(0)-#(0)),0,LogisticRegression,0.9948349442828636,0.9628985966206416,0.9688120546665108,0.9464105156723963,0.9636608344549126,0.9418578242107654,0.999288256227758,0.9930651872399445,0.9973544973544973,0.8988476312419974,0.9359477124183007,81560.08551264805,1,8,2,42,0.5,100000,0.0,145
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(0)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9949347995699686,0.9629286273860584,0.9687974757508474,0.9496981891348089,0.9604863221884499,0.9422596044555581,0.9971830985915493,0.9937106918238994,0.9968734968734969,0.9065300896286812,0.9294117647058824,480478.3337251121,1,8,2,42,0.5,100000,0.000125,0
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(13)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9942775165583533,0.9606769071653396,0.9670201608204172,0.946446615021893,0.9579661016949154,0.9380510965408094,0.9985785358919688,0.9950704225352113,0.9978354978354979,0.8994878361075545,0.9235294117647059,435093.37152265845,1,8,2,42,0.5,100000,0.000125,13
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(80)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9944547644486231,0.961250313873299,0.9674331738064667,0.9472623446422573,0.9587280108254398,0.9398956679519165,0.9964664310954063,0.9936886395511921,0.9966329966329966,0.9026888604353394,0.9261437908496732,253689.5484557476,1,8,2,42,0.5,100000,0.000125,80
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(100)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9951376331550902,0.9636172858337084,0.969421101774043,0.952029520295203,0.9596746865469332,0.9417233560090703,1.0,0.9964813511611541,0.9987974987974988,0.9084507042253521,0.9254901960784314,198731.23324918683,1,8,2,42,0.5,100000,0.000125,100
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(125)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9950674677137437,0.9637423708685167,0.9694986560710529,0.9475453934095495,0.9646345570899293,0.9429415776312798,0.9978753541076487,0.995135510771369,0.9975949975949976,0.9020486555697823,0.9359477124183007,126892.44513260882,1,8,2,42,0.5,100000,0.000125,125
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(130)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9950461281969524,0.9638723528870741,0.9696119682094436,0.9461641991924631,0.9663526244952894,0.943155979990905,0.9971631205673759,0.9958391123439667,0.9975949975949976,0.9001280409731114,0.938562091503268,114953.19871581317,1,8,2,42,0.5,100000,0.000125,130
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(135)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.9943092088124681,0.9612129438350973,0.9674483724186209,0.9429246876055386,0.9629380053908356,0.9394969408565602,0.997855611150822,0.9937413073713491,0.9971139971139971,0.8937259923175416,0.9339869281045752,79713.72888888273,1,8,2,42,0.5,100000,0.000125,135
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000-fee_flat(140)-fee_pct(0.000125)-#(0)),0,LogisticRegression,0.994621841479199,0.9619345834825551,0.96803546430238,0.9471913891691894,0.9604060913705584,0.9399637516991391,0.9978738483345145,0.9957894736842106,0.9978354978354979,0.9014084507042254,0.9274509803921569,33750.64495200598,1,8,2,42,0.5,100000,0.000125,140
