permutation,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(0)),LogisticRegression,0.9955558877296343,0.9654300325861673,0.9708465050930805,0.9510395707578807,0.965401410816258,0.945927446954141,0.9985915492957746,0.9930891499654457,0.9971139971139971,0.9078104993597952,0.9392156862745098,253160.03029228526,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(1)),LogisticRegression,0.9948667294905257,0.963037812072936,0.9689397477814105,0.946446615021893,0.9639366363329963,0.9416704493871992,0.9985785358919688,0.9951287404314544,0.9978354978354979,0.8994878361075545,0.934640522875817,252275.6836231887,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(2)),LogisticRegression,0.9948951842022922,0.9626597116412955,0.9685710947540601,0.9515212303577398,0.9579661016949154,0.9418314019541013,0.9958012596221134,0.9950704225352113,0.9968734968734969,0.91101152368758,0.9235294117647059,250748.69243170455,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(3)),LogisticRegression,0.9954010458789062,0.9652682616459028,0.9707397003745318,0.9475806451612903,0.9684563758389262,0.9455084359325125,0.9971711456859972,0.9951724137931034,0.9973544973544973,0.9026888604353394,0.9431372549019608,253256.5952571858,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(4)),LogisticRegression,0.994320594007747,0.9609480950970846,0.9672608644995924,0.9454177897574123,0.9596473380807055,0.9380790960451978,0.9978662873399715,0.9971811134601832,0.9983164983164983,0.8982074263764405,0.9248366013071896,250238.5838373417,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(5)),LogisticRegression,0.995128296544287,0.9642906151728888,0.9699098466221755,0.9458459468550285,0.9678499665103818,0.945014830025097,0.9964564138908576,0.992445054945055,0.9961519961519961,0.9001280409731114,0.9444444444444444,251111.32853727648,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(6)),LogisticRegression,0.9947661771904827,0.9628867470915712,0.9688338975137154,0.944706675657451,0.9652847994607346,0.9412565207530053,0.9978632478632479,0.9965205288796103,0.9980759980759981,0.8969270166453265,0.9359477124183007,249760.86051867297,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(7)),LogisticRegression,0.9942314067731994,0.9617230912505602,0.9679075738125802,0.9389830508474577,0.9681314994968131,0.940149625935162,0.9978386167146974,0.994486560992419,0.9973544973544973,0.8866837387964148,0.9431372549019608,249058.80252172553,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(8)),LogisticRegression,0.9952261080439505,0.9641761020150651,0.9698175011698642,0.9493458570949346,0.9639851901716595,0.9441913439635535,0.9971811134601832,0.9937543372657877,0.9968734968734969,0.9058898847631242,0.9359477124183007,253019.35845181195,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(9)),LogisticRegression,0.9957102078491695,0.9658675327415707,0.9711876317638791,0.9533022014676451,0.9642375168690959,0.9465753424657535,0.995125348189415,0.9965132496513249,0.9971139971139971,0.9148527528809219,0.9339869281045752,251145.85777309554,1,8,2,42,0.5,100000
