permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.4114376826679038,0.45449328571917985,0.3855494839101397,0.5378881987577641,0.488,0.5196399345335515,0.4347389558232932,0.4717710750193349,0.3064671814671815,0.7052117263843648,0.5053852526926264,169683.76379806868,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#1,1,LogisticRegression,1.423503720030009,0.45951264534426417,0.39464285714285713,0.547068145800317,0.48179271708683474,0.514751552795031,0.4478463933575506,0.46594427244582043,0.319980694980695,0.7027687296416938,0.4987572493786247,173572.83819832373,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#2,2,LogisticRegression,1.4339804678222974,0.4678233211802474,0.4237145265524023,0.5310580204778157,0.47920792079207924,0.5070611970410221,0.4571092831962397,0.4590288315629742,0.3638996138996139,0.6335504885993485,0.5012427506213754,166463.47295894628,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#3,3,LogisticRegression,1.4320872664542428,0.46691432617735307,0.42171071327081555,0.5273224043715847,0.4830541488118426,0.5127850725639254,0.4541176470588235,0.45588235294117646,0.3581081081081081,0.6286644951140065,0.5136702568351285,170334.55369513176,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#4,4,LogisticRegression,1.3836754074282356,0.4447719918622827,0.373780487804878,0.5319537431527693,0.47794117647058826,0.5074503311258278,0.42468415937803694,0.47139403706688154,0.29584942084942084,0.7117263843648208,0.48467274233637114,163547.44357454396,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#5,5,LogisticRegression,1.442197226081955,0.4712356959158371,0.43023902167871036,0.5224036123654047,0.48955459203784,0.5072083879423329,0.4554815263476681,0.46691729323308273,0.3735521235521235,0.6123778501628665,0.5144987572493787,173186.75390339625,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#6,6,LogisticRegression,1.4104496968994096,0.4511976221429169,0.3697530864197531,0.5380228136882129,0.5026737967914437,0.5128424657534246,0.4403526970954357,0.4663359319631467,0.2890926640926641,0.6913680781758957,0.5451532725766363,172593.52944198798,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#7,7,LogisticRegression,1.4241185559326877,0.4650995127656595,0.4231423709585933,0.536869340232859,0.46410684474123537,0.5130674002751031,0.44527896995708155,0.46761984861227923,0.36003861003861004,0.6758957654723127,0.46064623032311514,162754.39963411127,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#8,8,LogisticRegression,1.3981389958158281,0.45291147906068613,0.39606253618992476,0.5297225891677675,0.4723538704581358,0.49493487698986977,0.44555555555555554,0.45132075471698113,0.3301158301158301,0.6530944625407166,0.49544324772162385,166712.65524674352,1,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#9,9,LogisticRegression,1.432687245866508,0.4624736132142123,0.3974932855863922,0.5373036649214659,0.49789029535864987,0.5207193119624707,0.44912472647702406,0.4635714285714286,0.32142857142857145,0.6685667752442996,0.5376967688483845,176483.85744238656,1,6,4,24,0.25,100000,0.0004,14
